index,class,cap-shape,cap-surface,cap-color,odor,population,habitat
1,poisonous,convex,smooth,brown,pungent,scattered,urban
2,edible,convex,smooth,yellow,almond,numerous,grasses
3,edible,bell,smooth,white,anise,numerous,meadows
4,poisonous,convex,scaly,white,pungent,scattered,urban
5,edible,convex,smooth,gray,none,abundant,grasses
6,edible,convex,scaly,yellow,almond,numerous,grasses
7,edible,bell,smooth,white,almond,numerous,meadows
8,edible,bell,scaly,white,anise,scattered,meadows
9,poisonous,convex,scaly,white,pungent,several,grasses
10,edible,bell,smooth,yellow,almond,scattered,meadows
11,edible,convex,scaly,yellow,anise,numerous,grasses
12,edible,convex,scaly,yellow,almond,scattered,meadows
13,edible,bell,smooth,yellow,almond,scattered,grasses
14,poisonous,convex,scaly,white,pungent,several,urban
15,edible,convex,fibrous,brown,none,abundant,grasses
16,edible,sunken,fibrous,gray,none,soletary,urban
17,edible,flat,fibrous,white,none,abundant,grasses
18,poisonous,convex,smooth,brown,pungent,scattered,grasses
19,poisonous,convex,scaly,white,pungent,scattered,urban
20,poisonous,convex,smooth,brown,pungent,scattered,urban
21,edible,bell,smooth,yellow,almond,scattered,meadows
22,poisonous,convex,scaly,brown,pungent,several,grasses
23,edible,bell,scaly,yellow,anise,scattered,meadows
24,edible,bell,scaly,white,almond,numerous,meadows
25,edible,bell,smooth,white,anise,scattered,meadows
26,poisonous,flat,smooth,white,pungent,several,grasses
27,edible,convex,scaly,yellow,almond,numerous,meadows
28,edible,convex,scaly,white,anise,numerous,meadows
29,edible,flat,fibrous,brown,none,soletary,urban
30,edible,convex,smooth,yellow,almond,several,woods
31,edible,bell,smooth,yellow,anise,numerous,meadows
32,poisonous,convex,scaly,white,pungent,scattered,urban
33,edible,convex,scaly,yellow,anise,numerous,meadows
34,edible,convex,scaly,brown,anise,soletary,paths
35,edible,bell,scaly,yellow,anise,scattered,meadows
36,edible,convex,fibrous,yellow,anise,several,woods
37,edible,sunken,fibrous,gray,none,several,urban
38,poisonous,convex,scaly,brown,pungent,scattered,urban
39,edible,convex,fibrous,yellow,almond,several,woods
40,edible,bell,smooth,yellow,anise,scattered,meadows
41,edible,bell,scaly,yellow,almond,scattered,grasses
42,edible,convex,scaly,yellow,anise,soletary,paths
43,edible,convex,fibrous,brown,none,soletary,urban
44,poisonous,convex,scaly,white,pungent,several,grasses
45,edible,convex,smooth,yellow,almond,numerous,meadows
46,edible,convex,scaly,white,almond,numerous,grasses
47,edible,convex,scaly,yellow,anise,scattered,meadows
48,edible,convex,smooth,white,anise,numerous,meadows
49,edible,convex,scaly,yellow,anise,scattered,paths
50,edible,flat,scaly,yellow,anise,scattered,paths
51,edible,convex,scaly,brown,almond,scattered,grasses
52,edible,convex,smooth,white,anise,scattered,grasses
53,edible,bell,smooth,white,anise,numerous,meadows
54,poisonous,convex,scaly,brown,pungent,several,urban
55,poisonous,convex,smooth,white,pungent,several,urban
56,edible,bell,scaly,yellow,almond,scattered,meadows
57,edible,flat,fibrous,gray,none,abundant,grasses
58,edible,bell,smooth,white,almond,numerous,grasses
59,edible,convex,smooth,yellow,anise,numerous,grasses
60,edible,convex,scaly,brown,almond,soletary,paths
61,edible,sunken,fibrous,gray,none,several,urban
62,edible,bell,scaly,yellow,almond,scattered,meadows
63,edible,bell,smooth,yellow,anise,scattered,meadows
64,edible,bell,scaly,yellow,anise,numerous,meadows
65,edible,bell,scaly,white,anise,scattered,grasses
66,edible,flat,smooth,brown,none,abundant,grasses
67,edible,convex,smooth,white,anise,scattered,grasses
68,edible,flat,scaly,yellow,almond,scattered,grasses
69,edible,convex,scaly,yellow,almond,numerous,grasses
70,edible,convex,fibrous,gray,none,several,urban
71,edible,flat,fibrous,yellow,anise,several,woods
72,edible,bell,scaly,white,anise,scattered,meadows
73,edible,flat,fibrous,yellow,anise,several,woods
74,edible,convex,scaly,brown,almond,scattered,paths
75,edible,bell,smooth,yellow,almond,scattered,grasses
76,edible,flat,smooth,yellow,anise,several,woods
77,edible,convex,smooth,white,anise,several,woods
78,edible,flat,scaly,brown,anise,soletary,paths
79,poisonous,convex,scaly,brown,pungent,several,urban
80,edible,flat,scaly,brown,almond,soletary,grasses
81,edible,convex,smooth,brown,none,scattered,grasses
82,poisonous,convex,scaly,white,pungent,scattered,grasses
83,edible,flat,fibrous,gray,none,soletary,urban
84,edible,convex,fibrous,gray,none,scattered,grasses
85,edible,convex,scaly,yellow,anise,scattered,grasses
86,edible,convex,smooth,brown,none,scattered,grasses
87,edible,bell,smooth,white,almond,scattered,grasses
88,edible,convex,smooth,white,anise,scattered,grasses
89,edible,flat,scaly,brown,anise,soletary,grasses
90,edible,sunken,fibrous,brown,none,several,urban
91,edible,convex,fibrous,brown,none,soletary,urban
92,edible,bell,smooth,white,anise,scattered,grasses
93,edible,convex,scaly,yellow,almond,scattered,grasses
94,edible,convex,scaly,yellow,anise,numerous,meadows
95,edible,convex,smooth,brown,none,abundant,grasses
96,edible,convex,smooth,white,almond,scattered,grasses
97,edible,flat,scaly,brown,anise,scattered,grasses
98,edible,convex,smooth,yellow,almond,numerous,grasses
99,edible,bell,smooth,white,almond,scattered,grasses
100,edible,convex,scaly,white,almond,scattered,grasses
101,edible,convex,fibrous,brown,none,scattered,grasses
102,edible,bell,smooth,yellow,anise,numerous,grasses
103,edible,flat,scaly,yellow,anise,scattered,grasses
104,edible,convex,scaly,yellow,almond,soletary,paths
105,edible,bell,scaly,white,anise,numerous,grasses
106,edible,convex,scaly,yellow,almond,numerous,meadows
107,edible,convex,scaly,yellow,almond,soletary,grasses
108,edible,bell,scaly,white,anise,scattered,meadows
109,edible,bell,scaly,white,almond,scattered,meadows
110,edible,convex,smooth,yellow,almond,numerous,meadows
111,edible,convex,smooth,yellow,anise,numerous,grasses
112,edible,sunken,fibrous,gray,none,soletary,urban
113,edible,convex,fibrous,white,almond,several,woods
114,edible,convex,smooth,yellow,almond,numerous,meadows
115,poisonous,convex,scaly,white,pungent,several,urban
116,edible,convex,scaly,yellow,anise,scattered,grasses
117,edible,sunken,fibrous,gray,none,soletary,urban
118,edible,convex,scaly,yellow,anise,soletary,grasses
119,edible,convex,smooth,yellow,anise,several,woods
120,edible,sunken,fibrous,brown,none,soletary,urban
121,poisonous,convex,smooth,white,pungent,several,grasses
122,edible,convex,scaly,white,almond,numerous,meadows
123,poisonous,flat,scaly,brown,pungent,several,grasses
124,edible,flat,smooth,gray,none,abundant,grasses
125,edible,convex,smooth,yellow,anise,scattered,meadows
126,edible,convex,smooth,white,none,scattered,grasses
127,edible,bell,smooth,yellow,almond,numerous,grasses
128,edible,flat,fibrous,gray,none,abundant,grasses
129,edible,convex,smooth,white,anise,numerous,grasses
130,edible,bell,smooth,white,anise,scattered,meadows
131,edible,bell,smooth,white,anise,scattered,grasses
